Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00122,16,49,65,70,1.6,1
S00123,22,75,86,99,7.8,1
S00124,16,95,61,100,6.9,1
S00125,16,71,61,74,4.6,1
S00126,19,67,84,76,5.7,1
S00127,22,72,54,56,3.5,1
S00128,18,68,75,70,5.1,1
S00129,18,78,52,82,5.3,1
S00130,16,67,72,57,4.2,1
S00131,18,87,67,100,9.1,1
S00132,18,71,52,58,0.7,1
S00133,16,57,82,87,7.9,1
S00134,18,68,65,69,1.7,1
S00135,20,99,85,98,8.1,1
S00136,17,73,66,83,6.4,1
S00137,22,100,75,75,8.5,1
S00138,17,49,43,69,1.4,1
S00139,16,70,82,91,5.8,1
S00140,19,67,79,67,5.3,1
S00141,22,95,92,92,7.2,1
S00142,16,56,72,81,5.6,1
S00143,19,97,57,79,5.6,1
S00144,17,70,71,68,4.6,1
S00145,16,76,70,68,3.4,1
S00146,22,82,62,81,5.1,1
S00147,22,63,50,60,1.6,1
S00148,21,86,99,80,9.6,1
S00149,20,99,86,72,7.3,1
S00150,18,87,100,93,9.5,1
S00151,19,57,88,74,2.7,1
S00152,21,100,73,88,8.9,1
S00153,18,90,83,100,8.2,1
S00154,18,99,85,63,6.9,1
S00155,16,80,86,85,6.4,1
S00156,18,61,82,51,3.5,1
S00157,20,91,97,85,8.3,1
S00158,22,71,91,80,5.3,1
S00159,21,52,62,62,1.2,1
S00160,18,79,63,50,3.5,1
S00161,16,100,100,89,9.4,1
S00162,20,86,92,88,8.6,1
S00163,17,83,91,100,9.8,1
S00164,22,79,69,65,6.5,1
S00165,22,73,70,85,2.9,1
S00166,21,66,77,39,2.0,1
S00167,22,79,60,53,2.3,1
S00168,18,66,58,64,0.7,1
S00169,16,59,76,77,4.2,1
S00170,22,58,71,84,2.3,1
S00171,22,56,71,76,4.4,1
S00172,17,100,88,89,9.4,1
S00173,17,49,68,80,4.6,1
S00174,19,75,77,62,8.8,1
S00175,20,74,72,69,6.3,1
S00176,18,73,58,56,2.8,1
S00177,22,64,53,83,3.9,1
S00178,22,56,74,78,1.3,1
S00179,16,66,75,92,3.7,1
S00180,19,85,85,88,6.9,1
S00181,20,45,77,74,1.2,1
S00182,19,54,75,69,2.5,1
S00183,21,92,63,68,4.1,1
S00184,20,99,100,79,9.8,1
S00185,22,96,99,73,8.0,1
S00186,22,86,72,69,7.5,1
S00187,20,60,74,73,1.6,1
S00188,22,92,81,81,7.9,1
S00189,18,96,99,78,8.0,1
S00190,20,90,77,58,6.2,1
S00191,19,93,88,82,9.9,1
S00192,20,81,66,68,3.6,1
S00193,22,63,81,73,9.4,1
S00194,18,100,74,100,9.2,1
S00195,18,52,29,47,0.6,1
S00196,21,81,63,88,4.8,1
S00197,19,86,100,90,9.8,1
S00198,17,45,68,59,1.5,1
S00199,17,82,100,75,5.7,1
S00200,20,76,90,92,9.8,1
S00201,21,73,73,81,5.8,1
S00202,16,54,86,57,2.3,1
S00203,20,77,84,85,6.0,1
S00204,21,74,55,65,2.4,1
S00205,19,71,85,63,5.4,1
S00206,19,64,77,59,1.2,1
S00207,19,89,64,96,6.3,1
S00208,19,69,83,80,5.4,1
S00209,19,78,69,84,7.5,1
S00210,21,97,96,76,6.5,1
S00211,21,77,81,75,5.7,1
S00212,18,90,92,85,7.1,1
S00213,17,69,62,63,1.9,1
S00214,22,65,59,85,6.2,1
S00215,19,54,60,70,2.1,1
S00216,16,97,100,77,9.3,1
S00217,22,35,85,69,1.1,1
S00218,21,71,78,64,4.6,1
S00219,16,73,76,72,7.1,1
S00220,16,88,82,75,4.9,1
S00221,16,65,72,67,1.4,1
S00222,18,92,81,85,5.8,1
S00223,21,81,83,57,6.6,1
S00224,16,82,87,92,7.2,1
S00225,19,67,73,77,4.0,1
S00226,20,73,83,71,5.9,1
S00227,16,100,97,73,4.8,1
S00228,18,92,59,84,6.9,1
S00229,22,66,77,41,6.0,1
S00230,21,100,67,64,5.5,1
S00231,18,62,82,82,2.9,1
S00232,16,61,57,55,0.5,1
S00233,21,75,72,66,2.2,1
S00234,20,43,80,64,1.6,1
S00235,16,64,62,83,4.8,1
S00236,18,100,75,76,6.3,1
S00237,17,62,82,64,2.5,1
S00238,19,100,79,92,9.4,1
S00239,22,52,53,71,0.6,1
S00240,18,85,67,98,7.8,1
S00241,21,100,98,77,6.4,1
S00242,16,76,65,67,4.0,1
S00243,19,55,65,62,1.0,1
S00244,16,73,90,95,6.5,1
S00245,21,65,63,82,4.2,1
S00246,16,100,70,85,9.4,1
S00247,17,87,76,60,5.6,1
S00248,19,79,90,100,9.4,1
S00249,19,66,66,82,2.6,1
S00250,21,84,84,71,7.4,1
S00251,22,84,75,76,6.4,1
S00252,17,78,79,94,7.5,1
S00253,18,78,70,72,2.5,1
S00254,16,82,73,60,6.8,1
S00255,20,80,76,64,5.2,1
S00256,16,76,79,91,7.6,1
S00257,16,61,74,74,3.6,1
S00258,18,100,100,96,9.0,1
S00259,16,82,76,73,1.3,1
S00260,17,87,100,89,8.2,1
S00261,17,100,86,92,8.7,1
S00262,19,100,86,80,8.3,1
S00263,21,69,62,79,5.4,1
S00264,22,65,71,78,4.7,1
S00265,20,100,91,100,10.0,1
S00266,16,69,60,60,2.7,1
S00267,16,73,71,86,5.7,1
S00268,18,91,63,81,6.9,1
S00269,21,66,68,91,7.2,1
S00270,17,66,67,66,2.4,1
S00271,20,67,83,94,6.7,1
S00272,19,74,94,78,8.3,1
S00273,17,51,58,65,1.0,1
S00274,21,96,92,94,9.2,1
S00275,22,50,75,55,0.8,1
S00276,19,56,71,76,3.9,1
S00277,22,64,52,73,0.7,1
S00278,18,78,47,63,1.2,1
S00279,18,99,100,98,9.2,1
S00280,16,92,51,65,3.9,1
S00281,22,90,64,62,4.5,1
S00282,21,59,72,76,2.5,1
S00283,20,87,58,74,6.2,1
S00284,19,79,73,61,6.2,1
S00285,17,84,74,64,4.0,1
S00286,21,69,66,87,3.7,1
S00287,21,81,79,100,8.9,1
S00288,18,88,65,61,4.1,1
S00289,22,80,87,61,5.2,1
S00290,16,60,91,66,3.2,1
S00291,16,81,89,97,8.0,1
S00292,19,64,49,72,4.3,1
S00293,18,65,84,75,5.4,1
S00294,21,61,63,63,2.9,1
S00295,20,99,81,89,9.9,1
S00296,18,69,60,80,3.3,1
S00297,19,81,78,86,7.8,1
S00298,19,91,58,72,4.6,1
S00299,18,41,66,75,2.5,1
S00300,19,91,100,87,8.1,1
S00301,18,68,58,82,3.7,1
S00302,17,78,100,80,8.7,1
S00303,18,96,94,92,9.2,1
S00304,22,87,89,98,8.7,1
S00305,18,73,56,80,0.8,1
S00306,19,97,78,74,8.0,1
S00307,22,95,77,72,4.4,1
S00308,19,84,97,74,8.8,1
S00309,16,98,53,70,6.6,1
S00310,16,75,100,87,8.4,1
S00311,22,74,55,54,5.2,1
S00312,17,72,72,83,5.6,1
S00313,16,70,34,72,1.9,1
S00314,18,94,84,84,7.9,1
S00315,19,62,69,65,4.5,1
S00316,16,84,71,74,5.3,1
S00317,16,82,91,100,8.0,1
S00318,17,70,78,74,6.2,1
S00319,22,64,73,59,2.4,1
S00320,22,62,65,54,6.1,1
S00321,21,84,75,86,4.4,1
S00322,17,74,68,62,5.0,1
S00323,18,58,56,64,0.8,1
S00324,22,64,70,91,2.5,1
S00325,19,88,63,74,3.2,1
S00326,17,100,83,87,7.3,1
S00327,16,74,45,58,0.6,1
S00328,19,72,87,78,4.4,1
S00329,19,79,100,91,9.3,1
S00330,16,61,64,71,1.6,1
S00331,17,80,75,51,5.4,1
S00332,16,97,86,90,8.0,1
S00333,21,97,100,95,9.5,1
S00334,19,73,94,100,7.6,1
S00335,20,78,98,83,7.3,1
S00336,20,81,85,89,8.4,1
S00337,18,80,81,79,4.7,1
S00338,22,95,100,91,8.2,1
S00339,16,66,48,48,0.6,1
S00340,16,96,80,99,9.3,1
S00341,18,49,78,65,4.7,1
S00342,18,57,64,83,5.8,1
S00343,18,65,46,60,2.9,1
S00344,19,87,100,82,7.6,1
S00345,21,75,78,59,1.2,1
S00346,16,91,76,85,8.8,1
S00347,19,77,72,86,8.4,1
S00348,18,73,59,72,2.6,1
S00349,16,88,100,85,8.2,1
S00350,19,82,82,95,8.0,1
S00351,21,62,83,75,6.5,1
S00352,19,72,76,78,4.0,1
S00353,21,70,71,61,3.1,1
S00354,18,54,85,88,2.7,1
S00355,21,78,62,76,3.5,1
S00356,16,99,90,81,9.1,1
S00357,18,60,64,83,1.2,1
S00358,16,89,88,93,8.4,1
S00359,20,82,57,65,3.8,1
S00360,17,81,60,76,5.5,1
S00361,21,79,69,73,8.0,1
S00362,17,88,100,76,8.9,1
S00363,17,77,62,85,3.8,1
S00364,21,50,81,66,4.9,1
S00365,18,61,75,59,4.4,1
S00366,20,66,48,69,0.6,1
S00367,16,83,58,89,3.3,1
S00368,19,87,77,88,4.9,1
S00369,16,83,75,99,4.4,1
S00370,19,86,91,100,7.4,1
S00371,16,59,67,64,4.2,1
S00372,21,73,66,73,5.1,1
S00373,20,49,76,57,4.6,1
S00374,19,100,100,71,7.5,1
S00375,22,80,68,100,8.7,1
S00376,18,71,69,81,5.6,1
S00377,16,100,94,100,8.0,1
S00378,16,49,72,61,3.3,1
S00379,19,63,86,72,5.6,1
S00380,18,73,66,79,3.8,1
S00381,18,79,54,86,4.4,1
S00382,21,84,100,66,7.5,1
S00383,22,90,100,86,8.9,1
S00384,21,77,63,70,1.7,1
S00385,21,89,72,89,6.5,1
S00386,21,85,74,90,6.0,1
S00387,21,71,66,64,1.6,1
S00388,21,61,63,54,2.5,1
S00389,20,95,70,50,3.5,1
S00390,18,36,84,65,2.1,1
S00391,21,84,79,66,2.8,1
S00392,18,78,54,61,3.0,1
S00393,18,73,72,82,3.7,1
S00394,17,86,80,72,7.6,1
S00395,20,77,83,72,5.9,1
S00396,21,100,94,100,9.9,1
S00397,16,72,100,66,4.4,1
S00398,19,77,91,88,7.7,1
S00399,22,100,89,88,8.8,1
S00400,16,100,100,85,7.0,1
S00401,20,49,76,84,4.4,1
S00402,19,100,68,88,7.7,1
S00403,20,52,65,52,2.4,1
S00404,18,58,78,58,3.6,1
S00405,19,63,84,81,5.7,1
S00406,18,79,92,69,6.0,1
S00407,16,42,62,73,0.7,1
S00408,16,79,94,94,9.5,1
S00409,19,75,67,64,7.1,1
S00410,19,77,95,97,5.2,1
S00411,21,95,89,86,9.4,1
S00412,20,89,63,73,4.7,1
S00413,21,100,100,96,9.8,1
S00414,20,89,98,76,5.4,1
S00415,21,58,58,76,1.6,1
S00416,18,64,64,74,7.8,1
S00417,19,60,75,95,6.9,1
S00418,16,98,100,92,7.8,1
S00419,20,100,95,82,9.5,1
S00420,20,79,71,88,7.9,1
S00421,16,63,90,93,6.3,1
S00422,21,77,87,93,8.6,1
S00423,20,85,75,84,6.9,1
S00424,22,75,67,81,4.4,1
S00425,18,100,100,96,8.9,1
S00426,19,60,73,63,2.6,1
S00427,16,81,67,85,7.3,1
S00428,19,100,95,98,8.9,1
S00429,22,59,86,85,7.4,1
S00430,20,87,79,75,7.1,1
S00431,20,82,82,88,7.7,1
S00432,22,83,65,71,4.9,1
S00433,16,96,82,95,8.8,1
S00434,18,56,70,83,2.4,1
S00435,17,56,60,73,1.7,1
S00436,16,40,76,61,3.2,1
S00437,17,86,68,81,5.5,1
S00438,22,79,86,49,5.4,1
S00439,21,100,100,85,8.3,1
S00440,17,67,73,84,4.3,1
S00441,18,86,83,81,5.1,1
S00442,21,45,66,63,0.6,1
S00443,17,40,68,98,4.4,1
S00444,22,81,89,63,6.7,1
S00445,21,51,32,46,0.6,1
S00446,22,55,37,76,3.2,1
S00447,17,76,63,78,2.5,1
S00448,22,73,68,73,0.9,1
S00449,18,77,75,70,5.1,1
S00450,17,62,74,58,2.2,1
S00451,17,86,71,73,7.6,1
S00452,17,82,100,91,8.6,1
S00453,16,85,98,67,5.7,1
S00454,16,76,86,100,9.8,1
S00455,16,61,84,75,4.8,1
S00456,18,67,78,70,5.4,1
S00457,21,100,100,84,9.9,1
S00458,22,62,87,52,2.7,1
S00459,20,100,97,82,9.5,1
S00460,17,68,70,57,0.9,1
S00461,22,64,60,80,4.7,1
S00462,17,67,70,63,1.2,1
S00463,18,80,100,74,7.4,1
S00464,17,86,70,67,6.3,1
S00465,16,94,80,80,7.2,1
S00466,20,85,81,51,4.1,1
S00467,19,73,78,69,4.0,1
S00468,17,78,44,75,0.9,1
S00469,22,75,73,70,3.8,1
S00470,16,94,88,92,9.3,1
S00471,19,68,61,74,4.1,1
S00472,20,81,100,72,8.4,1
S00473,19,94,89,100,8.5,1
S00474,16,72,84,68,4.0,1
S00475,21,84,68,81,6.5,1
S00476,21,66,69,57,1.4,1
S00477,19,64,75,77,1.5,1
S00478,18,83,58,47,1.0,1
S00479,22,73,74,94,6.0,1
S00480,22,78,58,71,4.5,1
S00481,19,75,68,72,5.7,1
S00482,17,47,72,71,5.5,1
S00483,17,68,60,92,3.8,1
S00484,22,71,74,64,6.9,1
S00485,22,85,88,79,7.7,1
S00486,21,57,63,48,0.6,1
S00487,18,70,80,48,2.5,1
S00488,16,78,76,98,7.3,1
S00489,17,67,73,73,4.2,1
S00490,22,91,78,69,6.8,1
S00491,21,60,66,81,3.8,1
S00492,20,50,69,69,4.2,1
S00493,21,65,62,59,2.0,1
S00494,17,80,71,76,3.0,1
S00495,17,88,77,76,6.3,1
S00496,21,76,89,64,4.6,1
S00497,16,100,67,93,7.9,1
S00498,19,100,100,86,8.6,1
S00499,17,73,74,86,5.6,1
S00500,21,89,84,80,7.7,1
S00501,22,72,70,82,3.4,1
S00502,21,72,82,74,4.4,1
S00503,18,98,74,95,7.3,1
S00504,19,70,65,85,4.2,1
S00505,20,73,86,93,6.1,1
S00506,16,33,45,68,2.3,1
S00507,20,70,80,84,6.2,1
S00508,19,74,80,85,8.7,1
S00509,19,90,78,78,8.8,1
S00510,19,70,65,100,7.4,1
S00511,20,93,95,76,7.6,1
S00512,22,92,81,89,5.8,1
S00513,19,79,72,88,6.1,1
S00514,21,50,62,68,1.8,1
S00515,20,77,62,73,4.7,1
S00516,19,97,69,74,4.8,1
S00517,21,100,91,83,9.6,1
S00518,22,57,75,76,4.6,1
S00519,18,60,83,65,5.7,1
S00520,22,57,57,86,5.6,1
S00521,19,67,86,78,6.5,1
S00522,20,88,65,74,7.6,1
S00523,17,59,72,54,2.6,1
S00524,19,67,75,76,5.5,1
S00525,17,100,100,85,8.3,1
S00526,21,81,68,70,4.9,1
S00527,18,47,78,75,3.1,1
S00528,16,94,68,85,6.7,1
S00529,22,94,90,87,8.3,1
S00530,18,66,37,53,1.1,1
S00531,19,80,98,77,7.9,1
S00532,17,86,100,71,8.3,1
S00533,22,51,67,74,4.9,1
S00534,17,100,96,98,9.8,1
S00535,20,75,93,72,8.0,1
S00536,17,76,68,79,7.8,1
S00537,20,75,77,84,7.6,1
S00538,21,84,54,72,1.9,1
S00539,22,57,96,52,2.6,1
S00540,22,86,88,100,4.9,1
S00541,16,67,66,78,3.0,1
S00542,19,63,83,67,4.4,1
S00543,20,78,93,77,8.9,1
S00544,16,81,96,90,8.3,1
S00545,17,80,69,86,6.5,1
S00546,17,97,100,77,8.7,1
S00547,16,81,78,73,7.9,1
S00548,22,67,66,65,4.6,1
S00549,17,54,73,68,2.4,1
S00550,21,62,82,78,5.4,1
S00551,21,70,86,100,7.5,1
S00552,16,85,85,51,4.6,1
S00553,20,76,69,74,6.8,1
S00554,20,55,84,59,1.4,1
S00555,16,77,80,90,7.6,1
S00556,20,84,87,92,8.2,1
S00557,22,88,100,81,7.2,1
S00558,22,88,85,100,9.7,1
S00559,20,91,100,75,8.4,1
S00560,21,100,89,81,9.1,1
S00561,20,83,83,76,9.4,1
S00562,22,82,83,84,8.1,1
S00563,18,90,90,78,6.9,1
S00564,19,75,71,71,0.6,1
S00565,17,60,78,96,4.9,1
S00566,18,58,60,95,5.9,1
S00567,20,69,78,57,3.4,1
S00568,21,68,69,72,3.5,1
S00569,16,100,80,99,9.6,1
S00570,20,98,95,96,9.0,1
S00571,21,89,100,100,8.6,1
S00572,19,85,74,72,4.4,1
S00573,20,49,70,63,0.6,1
S00574,22,63,67,89,1.3,1
S00575,16,54,76,76,3.5,1
S00576,21,57,56,55,0.6,1
S00577,21,40,69,52,0.7,1
S00578,21,78,100,92,9.2,1
S00579,19,100,94,95,7.2,1
S00580,20,47,66,82,3.4,1
S00581,19,60,76,56,1.8,1
S00582,17,87,82,78,5.4,1
S00583,17,84,48,57,0.6,1
S00584,20,95,88,88,9.4,1
S00585,22,75,67,84,4.4,1
S00586,19,73,49,73,4.3,1
S00587,16,84,85,81,4.2,1
S00588,21,65,99,71,1.2,1
S00589,21,74,97,74,6.6,1
S00590,20,98,87,98,7.5,1
S00591,22,77,77,70,6.9,1
S00592,17,43,53,52,1.8,1
S00593,17,60,82,74,6.0,1
S00594,21,76,91,68,5.9,1
S00595,20,91,82,94,8.7,1
S00596,19,83,100,100,4.1,1
S00597,17,79,56,85,4.0,1
S00598,19,82,84,71,6.4,1
S00599,22,93,83,70,6.5,1
S00600,17,75,76,87,5.0,1
S00601,17,58,68,62,4.7,1
S00602,18,58,78,66,5.2,1
S00603,17,100,85,92,8.7,1
S00604,16,48,91,70,4.9,1
S00605,20,90,100,91,9.4,1
S00606,20,100,72,73,5.3,1
S00607,19,99,73,90,9.5,1
S00608,22,86,93,96,8.4,1
S00609,17,50,75,79,3.9,1
S00610,16,100,91,98,8.7,1
S00611,19,76,69,72,1.5,1
S00612,18,100,100,98,9.3,1
S00613,19,81,92,81,6.5,1
S00614,19,66,67,47,1.0,1
S00615,17,80,91,80,6.6,1
S00616,18,83,97,95,9.8,1
S00617,19,71,50,65,1.2,1
S00618,16,78,96,83,5.8,1
S00619,16,92,87,100,7.6,1
S00620,20,86,77,81,8.2,1
S00621,18,78,60,70,4.4,1
S00622,18,64,55,81,2.4,1
S00623,20,57,46,64,0.9,1
S00624,19,79,88,84,6.0,1
S00625,18,100,73,69,4.8,1
S00626,16,100,100,82,9.5,1
S00627,16,90,75,50,1.1,1
S00628,17,83,95,84,7.0,1
S00629,18,54,67,51,0.7,1
S00630,19,51,68,55,2.1,1
S00631,20,93,73,83,4.8,1
S00632,20,63,74,68,4.8,1
S00633,19,100,91,69,7.0,1
S00634,22,79,80,75,9.1,1
S00635,21,92,81,91,6.6,1
S00636,17,74,85,90,9.6,1
S00637,20,85,100,84,8.9,1
S00638,18,80,89,81,6.1,1
S00639,17,81,100,88,8.4,1
S00640,18,79,73,75,6.6,1
S00641,22,58,54,60,1.2,1
S00642,16,95,86,92,7.5,1
S00643,17,36,54,74,1.4,1
S00644,20,73,87,70,6.1,1
S00645,17,99,84,97,7.2,1
S00646,17,66,55,86,1.1,1
S00647,17,81,80,65,2.7,1
S00648,21,100,70,86,9.2,1
S00649,17,68,88,71,6.4,1
S00650,18,74,61,62,2.8,1
S00651,16,85,94,86,7.1,1
S00652,22,100,93,100,6.2,1
S00653,19,86,50,85,5.3,1
S00654,17,100,92,88,9.8,1
S00655,20,91,84,78,7.0,1
S00656,17,77,44,66,4.1,1
S00657,20,93,91,98,8.1,1
S00658,18,87,84,86,8.9,1
S00659,20,68,49,70,1.7,1
S00660,19,76,58,65,2.4,1
S00661,16,78,57,92,2.6,1
S00662,20,95,77,77,7.1,1
S00663,20,98,83,72,6.2,1
S00664,16,94,93,75,6.4,1
S00665,19,100,92,95,9.4,1
S00666,17,73,100,100,7.9,1
S00667,20,48,51,70,1.7,1
S00668,16,67,73,80,3.8,1
S00669,18,74,100,81,4.6,1
S00670,16,89,54,55,4.3,1
S00671,18,49,64,82,6.9,1
S00672,19,79,100,85,9.0,1
S00673,17,66,73,69,3.4,1
S00674,16,66,71,69,5.7,1
S00675,22,77,74,95,8.0,1
S00676,22,67,74,75,4.5,1
S00677,21,52,67,67,2.1,1
S00678,20,66,78,74,5.0,1
S00679,19,75,47,56,1.0,1
S00680,16,100,89,71,9.5,1
S00681,22,69,55,67,1.2,1
S00682,20,73,83,76,4.7,1
S00683,22,89,65,83,5.5,1
S00684,16,100,96,92,9.9,1
S00685,18,71,97,55,2.1,1
S00686,16,54,49,56,1.6,1
S00687,21,52,50,77,0.6,1
S00688,16,76,63,70,2.0,1
S00689,16,59,31,77,2.5,1
S00690,21,66,65,91,6.5,1
S00691,19,59,71,57,2.6,1
S00692,16,77,58,58,0.7,1
S00693,21,82,100,94,8.4,1
S00694,20,75,69,64,4.0,1
S00695,18,63,68,68,3.9,1
S00696,18,78,61,65,3.4,1
S00697,16,100,90,83,9.8,1
S00698,19,46,50,65,2.1,1
S00699,19,94,89,83,9.0,1
S00700,20,66,75,81,7.9,1
S00701,16,53,47,67,1.2,1
S00702,18,94,87,100,9.9,1
S00703,19,90,74,78,3.1,1
S00704,16,64,64,66,1.4,1
S00705,22,79,97,100,8.4,1
S00706,19,80,73,90,7.2,1
S00707,21,92,81,89,6.4,1
S00708,22,54,85,65,2.0,1
S00709,19,88,93,72,5.0,1
S00710,18,80,72,89,7.9,1
S00711,17,58,58,81,3.4,1
S00712,22,63,91,73,3.5,1
S00713,20,38,64,55,0.5,1
S00714,20,38,63,53,2.2,1
S00715,18,89,87,71,8.8,1
S00716,19,73,78,76,4.7,1
S00717,16,98,97,100,9.9,1
S00718,19,71,67,48,4.3,1
S00719,18,100,83,77,7.3,1
S00720,20,70,62,62,3.2,1
S00721,19,54,74,77,4.0,1
S00722,20,51,57,60,2.3,1
S00723,22,70,56,59,3.8,1
S00724,16,73,96,72,5.7,1
S00725,22,80,94,83,9.9,1
S00726,20,81,100,82,6.8,1
S00727,20,64,43,65,2.4,1
S00728,17,78,43,68,0.9,1
S00729,17,51,69,65,1.7,1
S00730,22,73,78,90,5.8,1
S00731,21,100,73,80,7.8,1
S00732,22,97,100,97,9.4,1
S00733,17,47,49,66,0.7,1
S00734,20,68,92,74,5.5,1
S00735,18,60,75,84,5.0,1
S00736,22,83,70,73,6.7,1
S00737,20,91,71,92,5.8,1
S00738,18,100,100,74,7.0,1
S00739,18,64,79,67,6.8,1
S00740,17,72,75,50,1.6,1
S00741,22,89,100,87,8.1,1
S00742,19,59,62,59,1.7,1
S00743,16,78,81,85,7.1,1
S00744,17,50,69,62,4.5,1
S00745,17,84,82,83,5.4,1
S00746,19,76,100,91,9.1,1
S00747,16,82,76,84,9.0,1
S00748,20,93,91,93,8.3,1
S00749,21,54,79,83,5.3,1
S00750,22,69,64,85,7.5,1
S00751,21,91,67,87,5.4,1
S00752,20,92,82,100,8.8,1
S00753,17,64,83,65,4.3,1
S00754,16,95,100,100,9.7,1
S00755,17,100,70,80,9.4,1
S00756,18,98,93,92,7.5,1
S00757,17,54,75,81,3.2,1
S00758,17,50,71,64,1.8,1
S00759,20,97,92,87,8.6,1
S00760,20,71,76,63,2.1,1
S00761,20,73,100,78,8.6,1
S00762,21,64,57,70,5.2,1
S00763,18,70,73,80,4.4,1
S00764,20,92,89,99,9.1,1
S00765,16,80,74,80,6.2,1
S00766,21,63,74,68,6.0,1
S00767,19,79,81,66,5.8,1
S00768,16,62,57,72,4.0,1
S00769,22,73,95,80,8.0,1
S00770,22,66,64,82,2.9,1
S00771,16,91,100,82,9.4,1
S00772,20,100,84,95,9.0,1
S00773,19,59,63,65,3.7,1
