ID,Physics,Chemistry,Biology,Geography,Arts,Total_Score,Performance
S153,38,91,66,67,71,333,Low
S154,51,84,66,56,75,332,Low
S155,63,70,98,58,88,377,High
S156,63,77,46,80,94,360,High
S157,56,58,93,57,47,311,Low
S158,74,88,99,41,55,357,High
S159,82,64,79,54,62,341,Low
S160,41,39,62,76,37,255,Low
S161,83,41,48,97,35,304,Low
S162,78,48,62,56,44,288,Low
S163,87,89,43,74,54,347,Low
S164,56,48,48,80,87,319,Low
S165,35,88,36,68,78,305,Low
S166,86,44,39,61,77,307,Low
S167,90,89,93,55,52,379,High
S168,40,72,45,81,42,280,Low
S169,71,95,39,95,64,364,High
S170,46,35,36,55,77,249,Low
S171,51,59,86,79,80,355,High
S172,37,62,63,77,82,321,Low
S173,59,60,78,88,74,359,High
S174,79,80,87,60,76,382,High
S175,71,37,47,61,90,306,Low
S176,43,62,56,59,93,313,Low
S177,59,47,35,41,75,257,Low
S178,63,45,54,52,73,287,Low
S179,72,91,89,36,56,344,Low
S180,57,44,44,74,85,304,Low
S181,77,89,79,51,41,337,Low
S182,66,74,64,96,91,391,High
S183,45,45,95,85,84,354,High
S184,94,76,89,64,55,378,High
S185,89,49,57,37,35,267,Low
S186,59,73,84,87,83,386,High
S187,81,59,49,86,75,350,High
S188,49,89,52,49,93,332,Low
S189,54,54,99,79,38,324,Low
S190,91,64,80,78,88,401,High
S191,89,55,68,58,57,327,Low
S192,84,94,61,50,69,358,High
S193,82,60,45,43,46,276,Low
S194,74,75,64,74,89,376,High
S195,95,77,39,55,84,350,High
S196,47,87,87,43,87,351,High
S197,57,73,45,82,76,333,Low
S198,47,37,56,58,51,249,Low
S199,70,99,38,61,76,344,Low
S200,81,61,63,77,79,361,High
