Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
H1044,30,30596,Secondary,3,No,Rural
H1045,37,40985,Graduate,6,No,Rural
H1046,40,39300,Secondary,3,No,Rural
H1047,55,37160,Graduate,4,No,Urban
H1048,48,66185,Post-Grad,6,Yes,Urban
H1049,27,49859,Post-Grad,3,Yes,Urban
H1050,48,29869,Primary,3,No,Urban
H1051,41,56014,Post-Grad,5,Yes,Urban
H1052,38,70465,Secondary,5,No,Urban
H1053,51,57389,Secondary,5,Yes,Urban
H1054,55,26767,Secondary,5,No,Urban
H1055,54,39189,Post-Grad,4,No,Rural
H1056,36,60202,Secondary,3,Yes,Urban
H1057,41,36507,Secondary,4,No,Urban
H1058,48,50325,Graduate,3,No,Rural
H1059,54,54295,Secondary,7,Yes,Urban
H1060,40,33876,Primary,5,No,Rural
H1061,43,44285,Primary,4,No,Urban
H1062,33,15000,Primary,4,No,Urban
H1063,33,32707,Primary,7,No,Rural
H1064,53,41969,Primary,3,No,Rural
H1065,58,30026,Graduate,5,No,Rural
H1066,44,64588,Primary,4,No,Urban
H1067,55,27838,Secondary,5,No,Urban
H1068,48,39719,Post-Grad,2,No,Urban
H1069,38,46568,Secondary,6,Yes,Urban
H1070,48,62295,Graduate,7,Yes,Rural
H1071,60,27769,Primary,5,No,Urban
H1072,44,58957,Primary,5,No,Rural
H1073,60,45122,Primary,7,Yes,Urban
H1074,25,33221,Primary,5,No,Urban
H1075,53,50545,Secondary,3,Yes,Urban
H1076,45,47388,Primary,5,Yes,Rural
H1077,42,37797,Primary,5,No,Rural
H1078,45,45837,Primary,4,No,Rural
H1079,25,40376,Secondary,5,No,Rural
H1080,42,46362,Secondary,7,No,Rural
H1081,48,52945,Secondary,7,Yes,Rural
H1082,59,64032,Secondary,4,Yes,Urban
H1083,39,30146,Graduate,3,No,Urban
H1084,36,70596,Primary,8,Yes,Urban
H1085,39,21574,Graduate,6,No,Rural
H1086,54,43178,Graduate,3,No,Rural
H1087,48,52059,Primary,7,No,Urban
H1088,39,48371,Post-Grad,6,Yes,Rural
H1089,50,37527,Post-Grad,4,No,Rural
H1090,45,42502,Primary,5,No,Urban
H1091,54,39083,Secondary,4,No,Urban
H1092,37,37927,Graduate,2,No,Rural
H1093,41,55195,Graduate,4,Yes,Urban
H1094,41,49284,Primary,6,Yes,Rural
H1095,30,36685,Secondary,2,No,Urban
H1096,47,55795,Secondary,4,No,Rural
H1097,47,48687,Secondary,4,Yes,Rural
H1098,45,54754,Graduate,4,Yes,Rural
H1099,42,52555,Secondary,7,Yes,Urban
H1100,30,35052,Secondary,4,No,Rural
H1101,40,38277,Graduate,4,No,Rural
H1102,41,53967,Primary,5,Yes,Urban
H1103,36,52324,Secondary,4,Yes,Rural
H1104,43,44749,Graduate,3,No,Urban
H1105,49,46407,Post-Grad,4,Yes,Urban
H1106,63,60331,Secondary,3,No,Urban
H1107,46,37901,Secondary,3,No,Urban
H1108,47,51565,Primary,4,Yes,Urban
H1109,44,42573,Secondary,4,No,Rural
H1110,25,42387,Secondary,7,No,Urban
H1111,44,58185,Secondary,4,Yes,Rural
H1112,45,54904,Secondary,5,No,Urban
H1113,69,54762,Secondary,5,Yes,Urban
H1114,43,60665,Primary,2,Yes,Urban
H1115,48,45252,Secondary,5,No,Rural
H1116,44,53183,Secondary,3,Yes,Urban
H1117,33,41276,Secondary,7,No,Rural
H1118,56,48889,Primary,3,Yes,Rural
H1119,52,43438,Post-Grad,4,No,Rural
H1120,52,46163,Graduate,2,Yes,Urban
H1121,35,52141,Graduate,8,No,Urban
H1122,59,35181,Graduate,4,No,Rural
H1123,30,70108,Secondary,5,Yes,Urban
H1124,50,32927,Primary,2,No,Rural
H1125,66,30429,Secondary,5,No,Urban
H1126,35,58897,Graduate,3,Yes,Rural
H1127,39,54499,Graduate,6,Yes,Rural
H1128,45,52489,Secondary,3,Yes,Rural
H1129,39,52540,Primary,3,No,Urban
H1130,29,44853,Secondary,2,No,Rural
H1131,45,34232,Secondary,4,No,Urban
H1132,34,45909,Graduate,5,Yes,Urban
H1133,49,36874,Graduate,2,No,Rural
H1134,35,56701,Secondary,6,No,Rural
H1135,60,43235,Post-Grad,4,No,Rural
H1136,37,35094,Graduate,4,No,Rural
H1137,41,41143,Secondary,4,No,Urban
H1138,53,49955,Primary,4,No,Urban
H1139,32,38235,Primary,5,No,Rural
H1140,47,35133,Secondary,3,No,Urban
H1141,58,47924,Primary,3,Yes,Urban
H1142,28,47939,Primary,6,Yes,Urban
H1143,46,38916,Secondary,7,No,Urban
H1144,47,39347,Primary,4,No,Urban
H1145,52,47784,Post-Grad,3,Yes,Urban
H1146,32,27622,Primary,5,No,Urban
H1147,31,28110,Secondary,4,No,Urban
H1148,50,36378,Secondary,2,No,Rural
H1149,47,42438,Post-Grad,3,No,Urban
H1150,47,48730,Primary,5,Yes,Urban
H1151,48,62704,Secondary,5,Yes,Rural
H1152,38,55291,Post-Grad,2,No,Urban
H1153,47,43080,Post-Grad,3,No,Rural
H1154,47,44771,Graduate,3,No,Rural
H1155,37,32969,Secondary,5,No,Urban
H1156,63,44777,Primary,2,No,Urban
H1157,49,41536,Graduate,3,No,Rural
H1158,33,48872,Post-Grad,6,Yes,Rural
H1159,51,35073,Graduate,3,No,Urban
H1160,35,51232,Graduate,5,Yes,Rural
H1161,52,63392,Secondary,3,Yes,Urban
H1162,56,43694,Graduate,2,No,Rural
H1163,36,49820,Primary,3,No,Urban
H1164,54,53281,Secondary,5,Yes,Rural
H1165,49,40185,Secondary,6,No,Rural
H1166,53,47689,Secondary,6,Yes,Rural
H1167,63,45151,Secondary,4,No,Urban
H1168,42,46172,Primary,5,No,Urban
H1169,37,35723,Graduate,3,No,Urban
H1170,36,45294,Secondary,3,Yes,Urban
H1171,36,50975,Graduate,6,Yes,Urban
H1172,44,62413,Primary,2,No,Rural
H1173,48,56511,Secondary,2,Yes,Urban
H1174,47,70838,Secondary,3,No,Urban
H1175,53,35791,Primary,2,No,Rural
H1176,45,55467,Secondary,3,Yes,Rural
H1177,59,47200,Primary,5,Yes,Rural
H1178,42,71277,Primary,4,Yes,Rural
H1179,70,35300,Post-Grad,6,No,Urban
H1180,51,34923,Secondary,6,No,Urban
H1181,36,37807,Graduate,4,No,Rural
H1182,34,19513,Secondary,3,No,Rural
H1183,49,38690,Graduate,4,No,Urban
H1184,42,35890,Graduate,5,No,Rural
H1185,52,46804,Graduate,3,Yes,Urban
H1186,49,49101,Secondary,5,Yes,Urban
H1187,44,67514,Secondary,4,No,Urban
H1188,36,56405,Secondary,5,Yes,Urban
H1189,29,38077,Post-Grad,4,No,Urban
H1190,40,34219,Graduate,3,No,Urban
H1191,53,50903,Post-Grad,7,Yes,Rural
H1192,47,29157,Primary,6,No,Urban
H1193,32,66977,Graduate,3,Yes,Urban
H1194,46,59153,Post-Grad,6,No,Rural
H1195,48,39369,Primary,4,No,Rural
H1196,36,24442,Primary,6,No,Rural
H1197,46,61246,Graduate,6,No,Rural
H1198,45,43625,Graduate,4,No,Rural
H1199,33,59853,Graduate,2,No,Urban
